StaffID	CourseTitle	Place	StartDate	EndDate	CertNumber
VAE00049	Easa Part 145 - Maintenance Organization - Advanced	Vietnam	25-Nov-14	27-Nov-14	6826
VAE00049	AVIATION LEGISLATION - ADVANCE (EQUIVALENT TO MODULE 10)	Vietnam	1-Dec-14	3-Dec-14	6849
VAE00049	Human Factors In Maintenance - Advanced	Vietnam	26-Jan-15	28-Jan-15	waiting for Cer.
VAE00049	EWIS basic training course - Initial	Vietnam	18-Dec-14	20-Dec-14	waiting for Cer.
VAE00049	Fuel tank safety CDCCL - Initial	Vietnam	25-Dec-14	25-Dec-14	waiting for Cer.
VAE00049	A/C T.R B777 (PW) - B1	USA	7-Sep-02	1-Nov-02	No number
VAE00049	AIR LAW - JAR/EASA	Germany	24-Oct-05	2-Nov-05	95940
VAE00049	A/C T.R A320/321 (CFM56/V2500) - B1 + B2	Vietnam	20-Feb-06	7-Apr-06	A76452-02
VAE00049	COMPOSITE REPAIR F70	Holland	15-Apr-00	19-Apr-00	No number
VAE00049	TRAIN THE TRAINER	Vietnam	17-Aug-09	19-Aug-09	029048
VAE00049	STR REPAIR A321	France	20-Nov-04	5-Dec-04	111342
VAE00049	AIR LAW - FAR	Vietnam	14-Jul-10	15-Jul-10	Training Attendance Record
VAE00049	Human Factor-19	Vietnam	20-May-08	22-May-08	BF2009-List HF
VAE00049	ENG T.R GE (B777) - III	USA	4-Nov-02	7-Nov-02	No number
VAE00049	Basic Training Mechanical Engingeer	Vietnam	1-Feb-98	18-Jun-99	B71312
VAE00049	SMS	Vietnam	26-Aug-08	29-Aug-08	No number
VAE00056	Init- CEB Maintenance Management Manual	Vietnam	15-Oct-12	15-Oct-12	802/CTKT-TTĐT
VAE00056	Train the trainer	Vietnam	26-Aug-13	30-Aug-13	1109/13-iEIT
VAE00056	AVIATION LEGISLATION - ADVANCE (EQUIVALENT TO MODULE 10)	Vietnam	1-Dec-14	3-Dec-14	6851
VAE00056	ENGLISH TECHNICAL DOCWISE	Vietnam	5-Jun-07	14-Jun-07	BF2009-019
VAE00056	A/C T.R A320/321 (CFM56/V2500) - B1 + B2	Vietnam	20-Feb-06	7-Apr-06	A76452-05
VAE00056	A/C T.R UPGRD B777  - B2 (EASA Part66)	Vietnam	14-Sep-09	29-Sep-09	613/CTKT-TTĐT
VAE00056	SMS	Vietnam	25-May-09	27-May-09	SMS/0908-3
VAE00056	AIR LAW - FAR	Vietnam	14-Jun-10	18-Jun-10	TPE 201017
VAE00056	A/C T.R B777 (GE) - B2	Germany	27-Nov-06	22-Dec-06	119907
VAE00056	Basic Training Electrical Engingeer (Fifth course)	Vietnam	1-Mar-03	17-Sep-04	B593010
VAE00056	AIR LAW - FAR	Vietnam	14-Jul-10	15-Jul-10	Training Attendance Record
VAE00056	Human Factor-20	Vietnam	23-May-08	25-May-08	BF2009-List HF
VAE00058	Easa Part 145 - Maintenance Organization - Advanced	Vietnam	25-Nov-14	27-Nov-14	6828
VAE00058	AVIATION LEGISLATION - ADVANCE (EQUIVALENT TO MODULE 10)	Vietnam	1-Dec-14	3-Dec-14	6852
VAE00058	Airworthiness Training Course	Singapore	13-Aug-07	17-Aug-07	No number
VAE00058	AIR LAW - VAR	Vietnam	23-Jun-09	23-Jun-09	409/CTKT-TTĐT
VAE00058	A/C T.R UPGRD B777  - B2 (EASA Part66)	Vietnam	14-Sep-09	29-Sep-09	613/CTKT-TTĐT
VAE00058	A/C T.R B777 (PW) - B2	Singapore	16-Jun-08	17-Jul-08	T/08/106
VAE00058	SMS	Vietnam	20-May-09	22-May-09	SMS/0907-3
VAE00058	Basic Training Electrical Engingeer	Vietnam	1-Jan-05	1-Jul-06	C729045
VAE00058	Human Factor-19	Vietnam	20-May-08	22-May-08	BF2009-List HF
