VAE00001	"K/s VTĐ, Tiến sỹ kỹ thuật"	Tổng Giám đốc
VAE00004	"Kỹ sư cơ giới, Thạc sỹ kỹ thuật"	"Phó Tổng Giám đốc, Giám đốc TTBD Nội Thất"
VAE00003	K/s đặc thiết; Tiến sỹ kỹ thuật	Phó Tổng Giám đốc
VAE00005	K/s cơ giới	Phó Tổng Giám đốc
VAE00008	Cử nhân KT-KTLĐ	Trưởng phòng
VAE00009	"CNKT- QTKD,K/s BHLĐ"	Phó trưởng phòng
VAE00010	Cao đẳng Kế toán	Cán sự
VAE00011	Cử nhân KT-KTLĐ	"Phó trưởng ban, Trưởng phòng"
VAE00013	Cử nhân kinh tế - Kinh tế	Phó trưởng phòng
VAE00015	T/c KT-KH	Cán sự
VAE00017	Cử nhân KT-QTKD	Cán sự
VAE00014	Cử nhân KT-KTLĐ	Chuyên viên
VAE00018	"Kỹ sư cơ giới, Thạc sĩ Kỹ thuật"	"Phó Trưởng ban, Trưởng phòng"
VAE00021	Cử nhân kinh tế	Chuyên viên
VAE00025	CNKT-Kế toán CN; Thạc sỹ QTKD	Kế toán trưởng - Trưởng ban TC-KT
VAE00027	Cử nhân KT-Kế toán CN	Phó trưởng ban
VAE00028	Cử nhân KT-Kế toán	Trưởng phòng
VAE00029	K/s xây dựng	Tổ trưởng
VAE00030	"K/s xây dựng, CNKT-Kế toán"	Chuyên viên
VAE00031	Cử nhân kinh tế - Kế toán	Phó Trưởng phòng
VAE00032	CN kinh tế  - ngành Tài chính	Chuyên viên
VAE00034	Cử nhân KT-Kế toán; Cử nhân Luật	Trưởng phòng
VAE00035	Cử nhân kinh tế -TC-KT	Phó Trưởng phòng
VAE00036	Cử nhân kinh tế -Kế toán	Chuyên viên
VAE00037	Cử nhân kinh tế -Kế toán	Chuyên viên
VAE00038	Cử nhân kinh tế -Kế toán	Chuyên viên
VAE00039	Cử nhân kinh tế -TC-KT	Chuyên viên
VAE00040	T/c TC-KT; Cử nhân kinh tế	Chuyên viên
VAE00041	Cử nhân KT-Kế toán	Chuyên viên
VAE00042	T/c TC-KT; Cử nhân kinh tế	Tổ trưởng
VAE00043	Cử nhân KT-Kế toán	Chuyên viên
VAE00045	K/s Vô tuyến điện; Thạc sỹ KH kỹ thuật	Phó Tổng Giám đốc
VAE00046	Kỹ sư Đặc thiết	Phó trưởng ban
VAE00047	Kỹ sư cơ giới	Giám đốc
